scenario,source,target,year,value,units
rcp45cooler_ssp3,Electricity,Residential,1990,3.40511421415807,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,1990,0.0148520022952,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,1990,0,EJ
rcp45cooler_ssp3,Electricity Water Use,Biomass,1990,0.013406279999000001,km3
rcp45cooler_ssp3,Electricity Water Use,Coal,1990,9.39320168234,km3
rcp45cooler_ssp3,Electricity Water Use,Gas,1990,0.31840583412571005,km3
rcp45cooler_ssp3,Electricity Water Use,Geothermal,1990,0.010730431030000001,km3
rcp45cooler_ssp3,Electricity Water Use,Hydropower,1990,0.29886180302340004,km3
rcp45cooler_ssp3,Electricity Water Use,Liquid Fuels,1990,0.31250444574157,km3
rcp45cooler_ssp3,Electricity Water Use,Nuclear,1990,3.94108429,km3
rcp45cooler_ssp3,Electricity Water Use,Solar,1990,0.00198821875501,km3
rcp45cooler_ssp3,Gas,Commercial,1990,2.54234492765901,EJ
rcp45cooler_ssp3,Gas,Electricity,1990,2.756561803018,EJ
rcp45cooler_ssp3,Gas,Hydrogen,1990,0,EJ
rcp45cooler_ssp3,Gas,Industry,1990,7.1658376636000005,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,1990,0.638302342,EJ
rcp45cooler_ssp3,Gas,Losses,1990,0.9401887828633484,EJ
rcp45cooler_ssp3,Gas,Residential,1990,4.28161998085964,EJ
rcp45cooler_ssp3,Gas,Transportation-Vehicle,1990,0,EJ
rcp45cooler_ssp3,Geothermal,Electricity,1990,0.0568080688,EJ
rcp45cooler_ssp3,Groundwater,Domestic Water Use,1990,0.4101125895333431,km3
rcp45cooler_ssp3,Groundwater,Electricity Water Use,1990,0.4395311030951823,km3
rcp45cooler_ssp3,Groundwater,Industry Water Use,1990,0.15345019954211947,km3
rcp45cooler_ssp3,Groundwater,Irrigation Water Use,1990,1.570020142573528,km3
rcp45cooler_ssp3,Groundwater,Livestock Water Use,1990,0.018030195319944785,km3
rcp45cooler_ssp3,Groundwater,Mining Water Use,1990,0.04457020571020584,km3
rcp45cooler_ssp3,Hydrogen,Industry,1990,0,EJ
