scenario,region,basin,resource,subresource,year,value,Units
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2070,0.786548,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2075,0.745307,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2080,1.05462,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2085,0.644615,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2090,0.74052,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2095,0.654619,km^3
rcp45cooler_ssp3,USA,Great,Great_water withdrawals,runoff,2100,1.51988,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,1975,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,1990,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2005,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2010,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2015,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2020,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2025,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2030,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2035,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2040,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2045,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2050,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2055,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2060,0,km^3
rcp45cooler_ssp3,USA,Hawaii,Hawaii_water withdrawals,groundwater,2065,0,km^3
