scenario,region,basin,resource,subresource,Units,year,value,share
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2074,4.783096,0.1725629605855781
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2075,4.40518,0.16118725571340647
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2076,6.093484,0.22087824916799348
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2077,7.781788000000001,0.279463358274316
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2078,9.470092000000001,0.3369730337369712
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2079,11.158396,0.3934366184748007
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2080,12.8467,0.4488823975429168
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2081,13.5893,0.4642175396501143
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2082,14.331900000000001,0.47888219055046444
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2083,15.0745,0.49291938285427284
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2084,15.8171,0.5063685438178737
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2085,16.5597,0.5192658651765724
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2086,15.59806,0.4985438153061759
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2087,14.63642,0.4770068192158227
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2088,13.67478,0.45460583793099324
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2089,12.71314,0.43128781741524624
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2090,11.7515,0.4069952690674591
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2091,12.41762,0.4270337338774185
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2092,13.08374,0.4467916688294126
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2093,13.74986,0.4662749239201132
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2094,14.415980000000001,0.48548918761273435
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2095,15.0821,0.5044399923742504
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2096,12.98492,0.445587540904399
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2097,10.88774,0.38359344887917435
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2098,8.79056,0.3181992589578787
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2099,6.693379999999999,0.2491173639795179
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,groundwater,km^3,2100,4.5962,0.1760267781913997
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,1975,17.7246,1
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,1976,17.724953333333332,0.992346029386807
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,1977,17.725306666666665,0.9848086335563343
rcp45cooler_ssp3,USA,Arkansas White Red,Arkansas White Red_water withdrawals,runoff,km^3,1978,17.725659999999998,0.9773851693760595
