scenario,source,target,year,value,units
rcp45cooler_ssp3,Gas,Industry,2005,6.5246006146,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,2005,0.750149814938,EJ
rcp45cooler_ssp3,Gas,Losses,2005,1.0163567118617394,EJ
rcp45cooler_ssp3,Gas,Residential,2005,4.66785138850332,EJ
rcp45cooler_ssp3,Gas,Transportation-Vehicle,2005,0.022257868775,EJ
rcp45cooler_ssp3,Geothermal,Electricity,2005,0.0595258177,EJ
rcp45cooler_ssp3,Hydrogen,Industry,2005,0,EJ
rcp45cooler_ssp3,Hydrogen,Losses,2005,0,EJ
rcp45cooler_ssp3,Hydrogen,Transportation-Vehicle,2005,0,EJ
rcp45cooler_ssp3,Hydropower,Electricity,2005,0.9751392333,EJ
rcp45cooler_ssp3,Liquid Fuels,Commercial,2005,0.6465887571609,EJ
rcp45cooler_ssp3,Liquid Fuels,Electricity,2005,0.71642293005,EJ
rcp45cooler_ssp3,Liquid Fuels,Industry,2005,8.402330192600001,EJ
rcp45cooler_ssp3,Liquid Fuels,Losses,2005,2.2335072806880234,EJ
rcp45cooler_ssp3,Liquid Fuels,Residential,2005,1.23898081370108,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-NonVehicle,2005,5.4763050382600005,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-Vehicle,2005,22.05984247361,EJ
rcp45cooler_ssp3,Natural Gas,Gas,2005,21.3949,EJ
rcp45cooler_ssp3,Natural Gas,Hydrogen,2005,0,EJ
rcp45cooler_ssp3,Natural Gas,Liquid Fuels,2005,0,EJ
rcp45cooler_ssp3,Nuclear,Electricity,2005,2.9186142,EJ
rcp45cooler_ssp3,Nuclear,Hydrogen,2005,0,EJ
rcp45cooler_ssp3,Oil,Liquid Fuels,2005,39.54964969,EJ
rcp45cooler_ssp3,Solar,Electricity,2005,0.11798819589000001,EJ
rcp45cooler_ssp3,Wind,Electricity,2005,0.9945055987,EJ
rcp45cooler_ssp3,Biomass,Commercial,2010,0.098596514535984,EJ
rcp45cooler_ssp3,Biomass,Electricity,2010,0.5019443002,EJ
rcp45cooler_ssp3,Biomass,Gas,2010,0.156004,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,2010,0,EJ
rcp45cooler_ssp3,Biomass,Industry,2010,1.4520839198,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,2010,0.9784346433,EJ
rcp45cooler_ssp3,Biomass,Residential,2010,0.50831011983075,EJ
rcp45cooler_ssp3,Coal,Commercial,2010,0.05542146804772,EJ
rcp45cooler_ssp3,Coal,Electricity,2010,19.23039613,EJ
rcp45cooler_ssp3,Coal,Gas,2010,0.0803291,EJ
rcp45cooler_ssp3,Coal,Hydrogen,2010,0,EJ
rcp45cooler_ssp3,Coal,Industry,2010,1.542741474,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,2010,0,EJ
rcp45cooler_ssp3,Coal,Residential,2010,0,EJ
rcp45cooler_ssp3,Electricity,Commercial,2010,5.0144113020828,EJ
rcp45cooler_ssp3,Electricity,Industry,2010,3.2846630390000002,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,2010,0.18651605607,EJ
rcp45cooler_ssp3,Electricity,Losses,2010,18.364488458892303,EJ
rcp45cooler_ssp3,Electricity,Residential,2010,5.4923348635027,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,2010,0.0228571791472,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,2010,0,EJ
rcp45cooler_ssp3,Gas,Commercial,2010,2.98511004414913,EJ
rcp45cooler_ssp3,Gas,Electricity,2010,7.27045475854,EJ
rcp45cooler_ssp3,Gas,Hydrogen,2010,0,EJ
rcp45cooler_ssp3,Gas,Industry,2010,6.6471463245,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,2010,1.01655459568,EJ
rcp45cooler_ssp3,Gas,Losses,2010,1.001991146585599,EJ
rcp45cooler_ssp3,Gas,Residential,2010,4.60626782408927,EJ
rcp45cooler_ssp3,Gas,Transportation-Vehicle,2010,0.027708406456,EJ
rcp45cooler_ssp3,Geothermal,Electricity,2010,0.0623604919,EJ
rcp45cooler_ssp3,Hydrogen,Industry,2010,0,EJ
rcp45cooler_ssp3,Hydrogen,Losses,2010,0,EJ
rcp45cooler_ssp3,Hydrogen,Transportation-Vehicle,2010,0,EJ
rcp45cooler_ssp3,Hydropower,Electricity,2010,0.941671738,EJ
rcp45cooler_ssp3,Liquid Fuels,Commercial,2010,0.5529046292422,EJ
rcp45cooler_ssp3,Liquid Fuels,Electricity,2010,0.225816806365,EJ
rcp45cooler_ssp3,Liquid Fuels,Industry,2010,7.10681129651,EJ
rcp45cooler_ssp3,Liquid Fuels,Losses,2010,1.8990497981714185,EJ
rcp45cooler_ssp3,Liquid Fuels,Residential,2010,0.96873867900138,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-NonVehicle,2010,5.00831991797,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-Vehicle,2010,21.36955982779,EJ
rcp45cooler_ssp3,Natural Gas,Gas,2010,23.3189,EJ
rcp45cooler_ssp3,Natural Gas,Hydrogen,2010,0,EJ
rcp45cooler_ssp3,Natural Gas,Liquid Fuels,2010,0,EJ
rcp45cooler_ssp3,Nuclear,Electricity,2010,3.0201514,EJ
rcp45cooler_ssp3,Nuclear,Hydrogen,2010,0,EJ
rcp45cooler_ssp3,Oil,Liquid Fuels,2010,34.949695659999996,EJ
rcp45cooler_ssp3,Solar,Electricity,2010,0.11798819589000001,EJ
rcp45cooler_ssp3,Wind,Electricity,2010,0.9944870778,EJ
rcp45cooler_ssp3,Biomass,Commercial,2015,0.0995329785215,EJ
rcp45cooler_ssp3,Biomass,Electricity,2015,0.5524027811,EJ
rcp45cooler_ssp3,Biomass,Gas,2015,0.238757,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,2015,0,EJ
rcp45cooler_ssp3,Biomass,Industry,2015,1.4636342364,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,2015,1.5694478729999999,EJ
rcp45cooler_ssp3,Biomass,Residential,2015,0.4145266307587,EJ
rcp45cooler_ssp3,Coal,Commercial,2015,0.020447506458375,EJ
rcp45cooler_ssp3,Coal,Electricity,2015,14.1144348487,EJ
rcp45cooler_ssp3,Coal,Gas,2015,0.0834267,EJ
rcp45cooler_ssp3,Coal,Hydrogen,2015,0,EJ
rcp45cooler_ssp3,Coal,Industry,2015,1.280049432,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,2015,0,EJ
rcp45cooler_ssp3,Coal,Residential,2015,0,EJ
rcp45cooler_ssp3,Electricity,Commercial,2015,5.10961286505185,EJ
rcp45cooler_ssp3,Electricity,Industry,2015,3.199319864,EJ
rcp45cooler_ssp3,Electricity,Liquid Fuels,2015,0.2011436678,EJ
rcp45cooler_ssp3,Electricity,Losses,2015,15.62899625762045,EJ
rcp45cooler_ssp3,Electricity,Residential,2015,5.3346897582889,EJ
rcp45cooler_ssp3,Electricity,Transportation-NonVehicle,2015,0.031282289920800004,EJ
rcp45cooler_ssp3,Electricity,Transportation-Vehicle,2015,0,EJ
rcp45cooler_ssp3,Gas,Commercial,2015,3.10115240614179,EJ
rcp45cooler_ssp3,Gas,Electricity,2015,9.59830568135,EJ
rcp45cooler_ssp3,Gas,Hydrogen,2015,0,EJ
rcp45cooler_ssp3,Gas,Industry,2015,7.5291787615,EJ
rcp45cooler_ssp3,Gas,Liquid Fuels,2015,1.2558807030899999,EJ
rcp45cooler_ssp3,Gas,Losses,2015,1.0417336297706008,EJ
rcp45cooler_ssp3,Gas,Residential,2015,4.47900364648761,EJ
rcp45cooler_ssp3,Gas,Transportation-Vehicle,2015,0.03872887166,EJ
rcp45cooler_ssp3,Geothermal,Electricity,2015,0.0664405851,EJ
rcp45cooler_ssp3,Hydrogen,Industry,2015,0,EJ
rcp45cooler_ssp3,Hydrogen,Losses,2015,0,EJ
rcp45cooler_ssp3,Hydrogen,Transportation-Vehicle,2015,0,EJ
rcp45cooler_ssp3,Hydropower,Electricity,2015,0.903781139,EJ
rcp45cooler_ssp3,Liquid Fuels,Commercial,2015,0.53518618535309,EJ
rcp45cooler_ssp3,Liquid Fuels,Electricity,2015,0.168161030042,EJ
rcp45cooler_ssp3,Liquid Fuels,Industry,2015,6.57371718765,EJ
rcp45cooler_ssp3,Liquid Fuels,Losses,2015,3.156478627152815,EJ
rcp45cooler_ssp3,Liquid Fuels,Residential,2015,0.61140743320809,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-NonVehicle,2015,5.296910283194,EJ
rcp45cooler_ssp3,Liquid Fuels,Transportation-Vehicle,2015,21.79910435729,EJ
rcp45cooler_ssp3,Natural Gas,Gas,2015,26.721800000000002,EJ
rcp45cooler_ssp3,Natural Gas,Hydrogen,2015,0,EJ
rcp45cooler_ssp3,Natural Gas,Liquid Fuels,2015,0,EJ
rcp45cooler_ssp3,Nuclear,Electricity,2015,2.9890358,EJ
rcp45cooler_ssp3,Nuclear,Hydrogen,2015,0,EJ
rcp45cooler_ssp3,Oil,Liquid Fuels,2015,35.11449286,EJ
rcp45cooler_ssp3,Solar,Electricity,2015,0.11798819589000001,EJ
rcp45cooler_ssp3,Wind,Electricity,2015,0.9944946415,EJ
rcp45cooler_ssp3,Biomass,Commercial,2020,0.137286868431037,EJ
rcp45cooler_ssp3,Biomass,Electricity,2020,6.412969e-5,EJ
rcp45cooler_ssp3,Biomass,Gas,2020,0.382595,EJ
rcp45cooler_ssp3,Biomass,Hydrogen,2020,0.001155955,EJ
rcp45cooler_ssp3,Biomass,Industry,2020,1.65706032006,EJ
rcp45cooler_ssp3,Biomass,Liquid Fuels,2020,1.8284332385261,EJ
rcp45cooler_ssp3,Biomass,Residential,2020,0.4944435033572,EJ
rcp45cooler_ssp3,Coal,Commercial,2020,0.01554872730042,EJ
rcp45cooler_ssp3,Coal,Electricity,2020,7.57776694839,EJ
rcp45cooler_ssp3,Coal,Gas,2020,0,EJ
rcp45cooler_ssp3,Coal,Hydrogen,2020,5.62095e-8,EJ
rcp45cooler_ssp3,Coal,Industry,2020,1.41065888983,EJ
rcp45cooler_ssp3,Coal,Liquid Fuels,2020,0,EJ
rcp45cooler_ssp3,Coal,Residential,2020,0,EJ
rcp45cooler_ssp3,Electricity,Commercial,2020,5.374122267248116,EJ
