scenario,target,source,year,value
rcp45cooler_ssp3,runoff,Lower Colorado River,2060,2.34483
rcp45cooler_ssp3,runoff,Lower Colorado River,2065,3.17651
rcp45cooler_ssp3,runoff,Lower Colorado River,2070,1.99063
rcp45cooler_ssp3,runoff,Lower Colorado River,2075,4.61525
rcp45cooler_ssp3,runoff,Lower Colorado River,2080,1.18624
rcp45cooler_ssp3,runoff,Lower Colorado River,2085,1.93871
rcp45cooler_ssp3,runoff,Lower Colorado River,2090,1.82389
rcp45cooler_ssp3,runoff,Lower Colorado River,2095,1.51479
rcp45cooler_ssp3,runoff,Lower Colorado River,2100,2.95572
rcp45cooler_ssp3,groundwater,Lower Mississippi River,1975,0
rcp45cooler_ssp3,groundwater,Lower Mississippi River,1990,8.48962
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2005,16.8945
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2010,15.0761
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2015,15.9448
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2020,8.60584
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2025,14.7896
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2030,12.4686
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2035,12.1024
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2040,18.9246
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2045,13.4668
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2050,18.1622
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2055,21.9394
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2060,11.9059
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2065,20.5251
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2070,16.9557
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2075,14.833
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2080,24.0724
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2085,19.6854
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2090,24.1141
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2095,25.8476
rcp45cooler_ssp3,groundwater,Lower Mississippi River,2100,7.44558
rcp45cooler_ssp3,runoff,Lower Mississippi River,1975,16.0189
rcp45cooler_ssp3,runoff,Lower Mississippi River,1990,16.0265
rcp45cooler_ssp3,runoff,Lower Mississippi River,2005,16.0418
rcp45cooler_ssp3,runoff,Lower Mississippi River,2010,16.0463
rcp45cooler_ssp3,runoff,Lower Mississippi River,2015,16.0511
rcp45cooler_ssp3,runoff,Lower Mississippi River,2020,21.1193
rcp45cooler_ssp3,runoff,Lower Mississippi River,2025,16.8599
rcp45cooler_ssp3,runoff,Lower Mississippi River,2030,19.1203
rcp45cooler_ssp3,runoff,Lower Mississippi River,2035,20.0911
rcp45cooler_ssp3,runoff,Lower Mississippi River,2040,13.6821
rcp45cooler_ssp3,runoff,Lower Mississippi River,2045,18.9034
rcp45cooler_ssp3,runoff,Lower Mississippi River,2050,14.139
rcp45cooler_ssp3,runoff,Lower Mississippi River,2055,13.0073
rcp45cooler_ssp3,runoff,Lower Mississippi River,2060,21.5965
rcp45cooler_ssp3,runoff,Lower Mississippi River,2065,16.1629
rcp45cooler_ssp3,runoff,Lower Mississippi River,2070,19.8897
rcp45cooler_ssp3,runoff,Lower Mississippi River,2075,21.7448
rcp45cooler_ssp3,runoff,Lower Mississippi River,2080,14.0975
rcp45cooler_ssp3,runoff,Lower Mississippi River,2085,18.3403
rcp45cooler_ssp3,runoff,Lower Mississippi River,2090,13.8253
rcp45cooler_ssp3,runoff,Lower Mississippi River,2095,14.5078
rcp45cooler_ssp3,runoff,Lower Mississippi River,2100,27.8058
rcp45cooler_ssp3,groundwater,Mid Atlantic,1975,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,1990,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2005,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2010,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2015,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2020,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2025,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2030,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2035,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2040,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2045,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2050,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2055,0
rcp45cooler_ssp3,groundwater,Mid Atlantic,2060,0
